source_id,source_title,publisher_or_provider,source_url,access_date,publication_or_data_year,variables_extracted,spatial_resolution,quality_notes
global_token_flow_uncertainty_country_envelope_2024_no_mrio,global_token_flow_uncertainty_country_envelope_2024_no_mrio.csv,This study,project-local-derived-table,2026-05-15,2024,token_origin_demand_p50; compute_execution_received_p05/p50/p95,country,Monte Carlo uncertainty envelope for modeled token execution; not observed routing or measured load.
country_data_centre_electricity_weighted_allocation_iea,country_data_centre_electricity_weighted_allocation_iea.csv,This study; anchored to IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,2026-05-15,2024,public_load_capacity_signal; data_center_footprint_signal; ai_compute_signal; public_project_capacity_signal; power_grid_evidence_signal; service_endpoint_signal and raw counterparts,country,Derived allocation table; public-evidence weighted; not measured AI electricity or observed provider routing.
global_token_compute_side_validation_panel_2024_no_mrio,global_token_compute_side_validation_panel_2024_no_mrio.csv,This study,project-local-derived-table,2026-05-15,2024,capacity_prior_consistency_score components; external_public_evidence_score components; measured_ai_load_available,country,"Compute-side plausibility alignment panel; supports bounded plausibility only, not routing validation."
ai_power_grid_country_score,ai_power_grid_country_score.csv,"This study from public company, utility, and regulator records",project-local-derived-table,2026-05-13,2024,power_grid_evidence_score; clean_power_contract_mw; committed_or_park_power_mw; contracted_or_stated_it_load_mw,country,Positive public power-support modifier only; missing evidence is not coded as absence.
ai_service_endpoint_country_score,ai_service_endpoint_country_score.csv,This study from public endpoint and RTT evidence,project-local-derived-table,2026-05-15,2024,service_endpoint_score; provider counts; region counts; model-support counts,country,"Official AI-service endpoint availability score; not observed routing, traffic, quota use, or GPU load."
hyperscale_ai_project_country_evidence,hyperscale_ai_project_country_evidence.csv,This study from public company and partner announcements,project-local-derived-table,2026-05-08,2024,countable_project_capacity_mw; accelerator_count_mixed_for_score; hyperscale_project_row_count,country,Conservative project-capacity evidence; incomplete and not measured operational load or utilization.
global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627,global_datacenter_facility_seed_location_locked_public_baseline_v2_20260627.csv,This study from OSM/public-baseline facility traces,project-local-derived-table,2026-06-27,2026,facility_seed_id; country_iso3; latitude; longitude; capacity_mw; operator_or_owner,facility point,Deduplicated public-baseline seed layer; not a complete global census and not AI-specific by default.
china_31province_hourly_load_annual_province_stats_20260706,china_31province_hourly_load_annual_province_stats_20260706.csv,This study from Figshare provincial hourly load dataset,https://figshare.com/articles/dataset/Dataset_LC/29832701,2026-07-06,2024,annual_total_load_gwh by province and year,province,Observed provincial total load curves only; not AI-specific dispatch.
china_province_2024_control_panel_status,china_province_2024_control_panel_status.csv,This study,project-local-derived-table,2026-05-15,2024,generation_thermal_gwh_partial; generation_total_gwh_partial by province,province,"2024 synchronization scaffold; thermal and total generation are partial structure, not dispatch or MRIO."
figure8_china_nested_context_source_data,figure8_china_nested_context_source_data.csv,This study,project-local-derived-table,2026-05-15,2024,water_main_model_in_100m3; water_strict_observed_in_100m3; generation_total_gwh,province,"China nested context screen only; not observed provider routing, measured AI electricity, or causal burden transfer."
