scenario,constraint logic,mechanism contrast,demand-source coverage,compute hosts,mean outsourcing,compute HHI,top compute countries in composite view,statistical_scope,claim boundary
S_minus1_domestic_execution_null,domestic-execution null,sets origin and execution co-location as a counterfactual,"4 source views: cloudflare_blended, composite_public, openrouter_blended, triangulated_base",173.0,0.0,0.0773,USA;IND;DEU;SGP;GBR,deterministic_scenario_contrast,modeled routing scenario; not provider routing or measured execution geography
S0_latency_dominant,latency-dominant routing,prioritizes low-latency feasible host geographies,"4 source views: cloudflare_blended, composite_public, openrouter_blended, triangulated_base",35.0,0.9684,0.0379,USA;FRA;GBR;CAN;DEU,deterministic_scenario_contrast,modeled routing scenario; not provider routing or measured execution geography
S1_cost_minimizing,cost-minimizing routing,prioritizes lower cost/power-price host candidates,"4 source views: cloudflare_blended, composite_public, openrouter_blended, triangulated_base",35.0,0.9873,0.0418,USA;FRA;MYS;NOR;ARE,deterministic_scenario_contrast,modeled routing scenario; not provider routing or measured execution geography
S2_capacity_constrained,capacity-constrained routing,prioritizes compute-capacity and feasible-host limits,"4 source views: cloudflare_blended, composite_public, openrouter_blended, triangulated_base",35.0,0.9805,0.0495,USA;FRA;MYS;ARE;NOR,deterministic_scenario_contrast,modeled routing scenario; not provider routing or measured execution geography
S3_carbon_aware,carbon-aware routing,prioritizes lower direct-carbon-intensity host candidates,"4 source views: cloudflare_blended, composite_public, openrouter_blended, triangulated_base",35.0,0.9897,0.0434,FRA;USA;NOR;MYS;IRL,deterministic_scenario_contrast,modeled routing scenario; not provider routing or measured execution geography
S4_sovereignty_constrained,sovereignty-constrained routing,adds regional or policy affinity constraints,"4 source views: cloudflare_blended, composite_public, openrouter_blended, triangulated_base",35.0,0.971,0.051,USA;IND;MYS;FRA;CHE,deterministic_scenario_contrast,modeled routing scenario; not provider routing or measured execution geography
host-weighting:hybrid public evidence,public-evidence host weighting,public_load_capacity_signal=0.3000; data_center_footprint_signal=0.2000; ai_compute_signal=0.2000; public_project_capacity_signal=0.1500; power_grid_evidence_signal=0.1000; service_endpoint_signal=0.0500,applies to host-burden allocation sensitivity,,,,,host_weighting_sensitivity,public-evidence weighted allocation; not facility-metered load
host-weighting:capacity_heavy,public-evidence host weighting,public_load_capacity_signal=0.4500; public_project_capacity_signal=0.2000; data_center_footprint_signal=0.1500; ai_compute_signal=0.1000; power_grid_evidence_signal=0.1000; service_endpoint_signal=0.0000,applies to host-burden allocation sensitivity,,,,,host_weighting_sensitivity,public-evidence weighted allocation; not facility-metered load
host-weighting:ai_compute_heavy,public-evidence host weighting,ai_compute_signal=0.4000; public_load_capacity_signal=0.2000; public_project_capacity_signal=0.1500; power_grid_evidence_signal=0.1000; service_endpoint_signal=0.1000; data_center_footprint_signal=0.0500,applies to host-burden allocation sensitivity,,,,,host_weighting_sensitivity,public-evidence weighted allocation; not facility-metered load
host-weighting:dc_footprint_only,public-evidence host weighting,data_center_footprint_signal=1.000,applies to host-burden allocation sensitivity,,,,,host_weighting_sensitivity,public-evidence weighted allocation; not facility-metered load
host-weighting:public_load_capacity_only,public-evidence host weighting,public_load_capacity_signal=0.7000; public_project_capacity_signal=0.3000,applies to host-burden allocation sensitivity,,,,,host_weighting_sensitivity,public-evidence weighted allocation; not facility-metered load
host-weighting:equal_component_benchmark,public-evidence host weighting,public_load_capacity_signal=0.1667; data_center_footprint_signal=0.1667; ai_compute_signal=0.1667; public_project_capacity_signal=0.1667; power_grid_evidence_signal=0.1667; service_endpoint_signal=0.1667,applies to host-burden allocation sensitivity,,,,,host_weighting_sensitivity,public-evidence weighted allocation; not facility-metered load
