parameter/result,lower,central,upper,input_unit,output_unit,conversion_formula,source_reference_or_url,source_quality,unit_compatibility_warning,claim boundary
GB200 rack power assumption,,140.0,,kW per rack,Wh per 1000 tokens when combined with throughput,rack_power_kw / tokens_per_second * 1000 / 3.6,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/ / https://www.nvidia.com/en-us/data-center/gb200-nvl72/ / https://intelligence.uptimeinstitute.com/resource/uptime-institute-global-data-center-survey-2024,public specification / derived hardware-class assumption,requires throughput assumption and PUE before total burden conversion,"hardware-class proxy, not measured data-centre power draw"
PUE assumption,1.56,1.56,1.56,dimensionless PUE,total Wh per 1000 tokens,IT_energy_per_1000_tokens * PUE,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/ / https://www.nvidia.com/en-us/data-center/gb200-nvl72/ / https://intelligence.uptimeinstitute.com/resource/uptime-institute-global-data-center-survey-2024,public benchmark / scenario assumption,PUE scales facility energy only and does not measure AI-specific utilization,"conversion parameter, not observed facility PUE"
GB200 throughput assumption,,865000.0,,tokens per second per rack,Wh per 1000 tokens,rack_power_kw / tokens_per_second * 1000 / 3.6,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/ / https://www.nvidia.com/en-us/data-center/gb200-nvl72/ / https://intelligence.uptimeinstitute.com/resource/uptime-institute-global-data-center-survey-2024,public specification / derived throughput assumption,"throughput may differ by model, batching, precision, and serving policy","hardware-class proxy, not measured production inference throughput"
tokens per inference assumption,,,,tokens per inference,bridge between query and token-normalized units,kWh_per_1000_inferences / assumed_tokens_per_inference = kWh_per_token,Luccioni et al. (2024) query-level energy values; tokens-per-inference bridge remains an explicit assumption and is not applied in the main token-normalized envelope,contextual bridge note; not active in main burden envelope,query-level kWh per 1000 inferences and token-normalized Wh per 1000 tokens are not interchangeable without an assumed tokens-per-inference conversion.,query-level references are contextual only unless a token-per-inference bridge is specified
global total token volume or workload scaling assumption,,,,tokens or workload unit,TWh global burden envelope,global_workload * Wh_per_1000_tokens / 1e9,"This study, public-evidence workload envelope; contextualized by IEA (2025), Masanet et al. (2020), and Shehabi et al. (2024); IEA (2025); Masanet et al. (2020); Shehabi et al. (2024)",scenario envelope anchored to public data-centre electricity context; not measured AI load,workload scaling is propagated as an envelope and is not measured global AI electricity,"global proxy envelope, not measured load"
regional carbon intensity parameter,,,,kg CO2 per kWh or equivalent host-level intensity,Mt CO2 proxy,"C_h^(d,r,k) = E_h^(d,r,k) I_h^k",Ember yearly electricity long format release -> electricity_carbon.csv -> 2024 host-country slice; accounting boundary contextualized with GHG Protocol (2015) and Riepin et al. (2025),country-year annual grid-intensity context; location-based proxy parameter,direct CO2 proxy is not market-based accounting or responsibility attribution; hosts missing a 2024 value are median-imputed after the 2024 merge,direct CO2 proxy only
uncertainty multiplier for low/mid/high envelope,low scenario,mid scenario,high scenario,scenario multiplier,Wh per 1000 tokens and TWh envelope,"scenario envelope propagates energy-per-token, workload and host-intensity uncertainty",inference_energy_parameters_literature_locked.csv,scenario uncertainty design,"intervals define claim-gated proxy bounds, not probability-confirmed physical measurements","uncertainty envelope, not observed range"
scenario_text_llm_low_total,0.07013487475915221,,,Wh per 1k tokens total,TWh or Mt CO2 proxy after workload and host-intensity propagation,E_total = workload * Wh_per_1000_tokens / 1e9,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/ / https://www.nvidia.com/en-us/data-center/gb200-nvl72/ / https://intelligence.uptimeinstitute.com/resource/uptime-institute-global-data-center-survey-2024,scenario_from_lower_bound,,lower-bound scenario with assumed rack power; should not be used as universal frontier inference energy
scenario_text_llm_mid_total,,0.7013487475915221,,Wh per 1k tokens total,TWh or Mt CO2 proxy after workload and host-intensity propagation,E_total = workload * Wh_per_1000_tokens / 1e9,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/,scenario_multiplier,,"transparent sensitivity parameter for lower utilization, larger models, service overhead and batching uncertainty"
scenario_text_llm_high_total,,,7.0134874759152215,Wh per 1k tokens total,TWh or Mt CO2 proxy after workload and host-intensity propagation,E_total = workload * Wh_per_1000_tokens / 1e9,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/,scenario_multiplier,,transparent high sensitivity parameter; not a measurement and not a claim about any named provider
luccioni_2024_text_generation_query_energy,,0.047,,kWh per 1000 inferences,contextual query-energy reference,not converted without tokens-per-inference assumption,https://arxiv.org/abs/2311.16863,source_reported,query-level kWh per 1000 inferences and token-normalized Wh per 1000 tokens are not interchangeable without an assumed tokens-per-inference conversion.,kWh per 1000 inferences is not Wh per 1000 tokens; conversion requires assumed tokens per inference
luccioni_2024_summarization_query_energy,,0.049,,kWh per 1000 inferences,contextual query-energy reference,not converted without tokens-per-inference assumption,https://arxiv.org/abs/2311.16863,source_reported,query-level kWh per 1000 inferences and token-normalized Wh per 1000 tokens are not interchangeable without an assumed tokens-per-inference conversion.,kWh per 1000 inferences is not Wh per 1000 tokens; conversion requires assumed tokens per inference
luccioni_2024_image_generation_query_energy,,2.907,,kWh per 1000 inferences,contextual query-energy reference,not converted without tokens-per-inference assumption,https://arxiv.org/abs/2311.16863,source_reported,query-level kWh per 1000 inferences and token-normalized Wh per 1000 tokens are not interchangeable without an assumed tokens-per-inference conversion.,image-generation query energy is not comparable to token-normalized text inference
modeled_global_electricity_envelope,25.17,44.84,79.38,host execution share and global electricity envelope,TWh,"E_h^(d,r,k) = H_h^(d,r) E_total^k","This study, public-evidence workload envelope; contextualized by IEA (2025), Masanet et al. (2020), and Shehabi et al. (2024)",blocked_point_estimate_wording,electricity-burden proxies are additive only within a single electricity layer and scenario,"Report electricity/carbon as uncertainty ranges, not single measured values."
modeled_global_direct_CO2_envelope,9.011,15.92,28.69,TWh and regional carbon-intensity parameter,Mt CO2 proxy,"C_h^(d,r,k) = E_h^(d,r,k) I_h^k","This study, public-evidence workload envelope; contextualized by IEA (2025), Masanet et al. (2020), and Shehabi et al. (2024); Ember yearly electricity long format release -> electricity_carbon.csv -> 2024 host-country slice; accounting boundary contextualized with GHG Protocol (2015) and Riepin et al. (2025)",blocked_point_estimate_wording,direct CO2 proxy is not market-based electricity accounting or responsibility attribution; it is a location-based annual grid-intensity envelope,direct CO2 proxy range; not measured emissions or responsibility accounting
