allowed bounded claim,supporting evidence,figure/table anchor,supplementary anchor,evidence tier,blocked stronger claim
AI demand can be framed as an origin-host burden-displacement problem under current public evidence.,"combined support from substantial modeled displacement, non-uniform host allocation, recurring exposure motifs, and interval-based burden ranges",Title; Abstract; Introduction paragraphs 3-5,Table S1; Figure S3; Figure S4; Table S8,conceptual_framing_grounded_in_modeled_results,observed end-to-end AI energy system
"The data construction is auditable through separated evidence layers, explicit matrix notation, schema/provenance artifacts, uncertainty envelopes, and claim-boundary gates.","Methods data-construction protocol; Supplementary Methods; Tables S1-S8; component-resolved country, host-prior and plausibility evidence tables",Methods data-construction protocol,Supplementary Methods; Tables S1-S8,reproducible_proxy_data_construction,measured provider-routing or metered AI-load validation
Modeled AI demand-execution displacement remains substantial under the current uncertainty envelope.,outsourcing ratio p05/p50/p95 = 0.839 / 0.889 / 0.923,Figure 2; Results paragraph 1,Figure S1; Table S3; Table S8,modeled_result_with_uncertainty,observed global outsourcing of AI execution
Modeled compute burden departs in a moderate but consistent way from a uniform feasible-host allocation.,HHI = 0.040 / 0.046 / 0.057 versus uniform benchmark 0.029,Figure 2; Results paragraph 1,Figure S1; Table S3; Table S8,modeled_result_with_null_benchmark,highly concentrated real-world compute-host dominance
"Host-country outputs are publicly plausible burden geographies, not validated routing outcomes.",full public compute-side plausibility score Spearman = 0.904; shared-class-removal Spearman = 0.684; capacity-prior comparator Spearman = 0.492,Results paragraph 2; Methods compute-side plausibility alignment,Table S6; Fig3_source_evidence_class_ablation.csv; Fig3_source_evidence_overlap_audit.csv,public_plausibility_alignment,validated provider routing geography
Recurring exposure motifs are more defensible than exact supply-chain identity.,top-25 min frequency = 0.55; mean = 0.74; median Jaccard = 0.351,Figure 4; Results exposure-motif paragraph,Figure S3; Table S5,scenario_robustness_summary,validated exact supply-chain identity
Global electricity and direct CO2 burdens are bounded as interval-based modeled ranges.,electricity 25.17 / 44.84 / 79.38 TWh; direct CO2 9.01 / 15.92 / 28.69 Mt,Figure 4; Results burden-envelope paragraph,Figure S2; Table S4,modeled_burden_envelope,measured 2024 global AI electricity consumption or carbon responsibility
China is retained as a data-rich nested-context module rather than dominant-host evidence.,China host-rank envelope = 14 / 25 / 32; China burden discussed only as contextual and non-additive,Supplementary Figure S5; Supplementary Method S9,Figure S4; Table S7,supplementary_context_demonstrator,observed China-specific AI burden transfer or domestic causation
Recurring exposure motifs and public burden-host plausibility can be summarized in the abstract and highlights without upgrading the evidence tier.,"full public compute-side plausibility score Spearman = 0.904; shared-class-removal Spearman = 0.684; pathway robustness summary min = 0.55, mean = 0.74, median Jaccard = 0.351",Abstract; Results plausibility and motif paragraphs,Figure S3; Table S5; Table S6,communication_layer_supported_by_main_results,stable exact pathways or validated routing in summary language
The study provides a bounded cross-border burden-screening framework rather than an end-to-end empirical audit.,"explicit claim boundary across the manuscript, Supplementary Information, source-data tables and claim-evidence alignment matrix",Discussion claim-boundary paragraph; Methods claim gates,Table S8; Table S1,interpretive_boundary,observed end-to-end AI energy supply chain reconstruction
