layer,unit/value,observed/modelled/proxy status,additivity rule,Source basis,blocked stronger claim
China global token-origin role,2.2437%,origin-side public demand proxy,not additive with domestic layers,"This study, origin-side public demand proxy compilation",observed China-origin all-platform token volume
China modeled compute-host role,14|25|32 rank envelope; top5 frequency 0,Monte Carlo modeled host envelope,global ranking context only,"This study, Monte Carlo host-rank stability output under the public-evidence burden-allocation framework",China is a stable top-five host
China modeled electricity and direct CO2 envelope,electricity 0.347|0.724|1.452 TWh; CO2 0.167197|0.372933|0.798081 Mt,modeled/proxy envelope,not measured country load,"This study, country-level modeled electricity and direct CO2 envelope under annual location-based grid-intensity conversion",measured China AI electricity or emissions
domestic support screen: Shandong,grid out 0.0514 TWh; coalele source 0.0092 TWh; water in 7.053 100m3,grid_and_coalele_support_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
domestic support screen: Inner Mongolia,grid out 0.0924 TWh; coalele source 0.1567 TWh; water in 0.0000 100m3,grid_and_coalele_support_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
domestic support screen: Xinjiang,grid out 0.0632 TWh; coalele source 0.0380 TWh; water in 0.0000 100m3,grid_and_coalele_support_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
domestic support screen: Shanxi,grid out 0.0573 TWh; coalele source 0.1345 TWh; water in 0.0000 100m3,grid_and_coalele_support_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
domestic support screen: Jiangsu,grid out 0.0501 TWh; coalele source 0.0026 TWh; water in 3.995 100m3,grid_support_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
domestic support screen: Shaanxi,grid out 0.0444 TWh; coalele source 0.1006 TWh; water in 0.0000 100m3,grid_and_coalele_support_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
domestic support screen: Anhui,grid out 0.0366 TWh; coalele source 0.0233 TWh; water in 0.1621 100m3,coalele_source_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
domestic support screen: Henan,grid out 0.0297 TWh; coalele source 0.0137 TWh; water in 21.36 100m3,coalele_source_screen,contextual and non-additive,"This study, China domestic electricity, coal-equivalent, and water-context compilation from public national/provincial infrastructure context","official 2024 AI-specific dispatch, coal transport, or AI-induced water demand"
